age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
76,Female,5,30,West,10,5,Yes,6
50,Male,3,1600,East,7,4,No,5
28,Female,3,1800,West,10,5,No,5
80,Female,5,1200,West,9,5,No,5
53,Male,2,1500,West,10,4,No,6
80,Female,2,900,East,5,2,No,1
39,Female,3,800,West,7,3,Yes,2
65,Male,2,1800,West,8,4,No,3
29,Female,3,1100,East,6,5,No,3
59,Female,3,1300,East,8,5,No,6
58,Male,3,3500,West,9,4,No,3
61,Male,2,830,West,7,1,No,3
53,Male,4,3500,West,9,4,No,6
56,Female,2,2500,West,9,4,No,9
36,Male,3,1680,East,8,3,No,9
38,Male,3,1600,East,8,4,No,9
81,Male,2,1313,East,6,2,No,9
49,Male,2,2625,West,7,2,No,9
81,Male,2,1500,West,6,4,No,3
50,Female,3,1200,West,8,5,No,9
34,Female,5,630,East,3,1,No,2
46,Male,5,3000,West,8,3,No,4
23,Male,5,400,East,8,5,Yes,2
39,Female,3,700,West,7,4,No,3
45,Male,3,2700,East,8,3,No,3
35,Female,5,2800,West,10,5,Yes,2
54,Male,4,1800,West,9,3,Yes,2
53,Male,3,1500,East,9,4,No,9
66,Female,3,240,West,9,3,No,3
50,Female,5,3100,West,8,3,No,3
56,Female,3,730,West,1,1,No,6
54,Female,3,600,West,8,5,No,2
77,Female,2,1400,East,10,5,No,6
78,Male,3,1200,East,7,2,No,1
68,Male,3,2200,West,9,4,No,6
63,Female,2,700,West,8,3,No,3
32,Female,3,750,West,9,5,No,6
20,Female,5,400,West,9,5,No,5
20,Male,3,270,West,8,3,No,5
59,Male,3,1100,West,9,4,No,2
75,Female,5,2600,West,10,4,Yes,3
26,Female,5,450,West,9,3,No,6
76,Male,5,2500,East,7,2,No,6
26,Female,5,120,West,7,5,No,2
56,Female,5,2500,West,10,4,No,3
71,Female,3,1188,West,8,4,No,5
54,Male,3,415,East,8,4,No,6
84,Female,3,1397,East,8,3,No,3
74,Male,2,905,East,10,4,No,6
56,Male,4,600,West,5,3,No,1
65,Male,1,1050,East,5,3,No,1
41,Male,5,2800,East,8,4,No,6
48,Female,5,4000,East,8,5,Yes,1
69,Male,4,1500,West,9,5,No,3
39,Male,3,2000,West,10,5,Yes,6
59,Male,5,2500,West,3,4,No,5
26,Female,4,400,West,8,3,No,9
30,Male,3,700,East,3,2,No,9
66,Male,5,3400,West,8,4,No,9
38,Male,3,3500,West,8,3,Yes,6
35,Female,3,1800,West,5,2,No,3
53,Female,3,450,East,8,3,No,2
46,Male,5,4000,West,8,5,Yes,1
73,Female,5,350,West,8,3,No,3
58,Female,2,1500,West,4,2,No,5
49,Male,5,3100,East,8,4,No,9
33,Male,5,6250,East,9,5,Yes,5
52,Male,2,3500,West,8,4,No,9
53,Male,3,350,West,4,2,No,3
74,Female,2,1200,East,8,4,No,3
71,Male,2,1625,West,5,3,No,3
48,Female,5,2400,West,8,3,No,3
28,Female,5,450,West,9,5,Yes,2
79,Male,5,1600,East,9,5,Yes,2
28,Male,3,1500,East,10,5,No,1
40,Male,3,1700,East,3,4,No,9
66,Female,2,220,West,8,4,No,3
28,Male,5,1100,East,8,4,No,2
32,Female,5,3300,West,9,4,Yes,2
64,Female,5,50,East,10,5,Yes,3
57,Female,2,1200,West,10,3,No,6
65,Female,3,1100,East,8,4,No,3
79,Male,2,1500,East,8,3,No,3
79,Female,2,980,East,8,4,No,6
44,Male,3,4500,West,8,4,No,4
21,Female,5,550,West,10,5,No,3
24,Female,5,1300,West,7,4,No,5
52,Female,3,1500,West,8,4,No,2
49,Male,5,4000,West,10,5,Yes,2
44,Female,3,2900,West,8,2,No,6
76,Male,4,1300,West,3,4,No,9
53,Female,3,1700,West,9,3,No,2
47,Male,3,2100,East,8,4,No,5
74,Female,2,420,West,8,2,No,6
42,Male,4,4800,West,6,4,No,6
78,Female,3,600,West,5,2,No,9
47,Female,5,2000,West,9,4,Yes,6
29,Male,3,800,West,9,4,Yes,3
79,Male,2,1313,West,10,4,Yes,9
67,Female,2,900,West,5,3,No,6
40,Female,3,120,West,7,3,No,6
51,Female,3,1100,East,7,3,No,3
50,Female,4,1500,West,4,3,No,3
71,Male,5,2400,West,10,4,No,3
65,Male,5,700,East,8,4,No,6
43,Female,2,900,West,8,3,No,9
85,Male,2,1900,East,6,3,No,1
47,Male,5,8750,West,9,5,Yes,5
91,Female,2,1300,West,8,4,No,6
20,Female,3,380,West,8,4,No,6
65,Male,3,1063,West,8,3,No,3
25,Male,5,3000,West,9,5,No,9
72,Female,5,2500,West,6,2,No,2
76,Male,2,1300,East,10,1,No,3
20,Male,3,1400,West,8,4,No,6
36,Female,5,600,West,7,4,Yes,6
25,Male,5,2500,West,8,5,Yes,6
21,Male,4,450,West,9,5,No,5
54,Female,3,1100,West,9,5,No,3
49,Male,2,725,West,6,3,No,6
69,Male,3,850,East,5,2,No,6
67,Male,2,1200,West,9,4,No,6
73,Female,3,300,West,10,4,No,3
21,Female,5,1577,West,7,4,No,2
76,Male,2,1150,West,8,4,No,1
19,Male,3,600,West,10,5,No,2
46,Male,3,1800,East,7,4,No,1
22,Male,5,600,East,9,5,No,5
51,Female,5,800,West,7,4,No,2
81,Male,2,1500,West,10,2,No,3
76,Male,2,1400,East,8,2,No,1
51,Female,4,813,West,9,4,No,6
72,Male,3,1400,West,8,3,No,3
38,Male,5,1400,East,9,4,No,3
23,Male,3,1063,East,9,4,No,1
46,Female,5,1600,West,10,5,No,6
47,Female,3,1000,East,4,5,No,9
70,Male,2,690,West,8,2,Yes,3
44,Female,5,700,West,6,4,No,2
50,Male,4,1800,West,8,4,No,1
32,Male,2,1300,East,3,4,Yes,1
84,Male,2,1200,East,5,3,No,1
