age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
51,Male,3,2300,West,9,4,No,3
23,Male,5,2050,West,9,5,No,5
67,Female,3,550,East,5,4,No,9
44,Female,2,1100,West,10,2,No,9
55,Female,5,1800,East,7,3,No,6
47,Male,5,2600,West,8,4,No,1
28,Female,3,1200,West,8,3,No,6
49,Male,5,3500,West,7,3,No,2
69,Female,3,524,West,8,4,No,3
59,Female,3,2000,East,9,5,No,6
25,Female,5,2150,West,6,3,No,3
26,Male,3,1500,East,8,4,No,2
57,Female,5,1438,West,9,4,No,1
63,Male,3,2400,West,10,4,No,6
20,Female,3,772,West,9,3,No,6
27,Female,5,450,East,8,5,No,6
56,Female,3,404,East,5,3,No,5
24,Female,4,1800,West,9,4,No,3
60,Male,5,5800,West,10,5,No,6
51,Male,3,1500,West,10,4,No,6
84,Female,2,400,West,7,3,No,3
77,Female,2,776,East,7,2,No,3
62,Male,5,3500,West,8,2,Yes,3
74,Male,2,550,West,9,3,No,9
19,Female,4,700,West,8,4,Yes,2
83,Female,5,800,West,8,3,Yes,2
53,Female,4,2000,West,7,4,No,9
47,Female,3,758,West,5,2,No,6
54,Male,4,4500,West,9,4,No,2
32,Female,5,1200,West,10,5,Yes,2
33,Male,5,3200,West,8,4,No,6
55,Female,5,3500,East,8,3,No,1
64,Female,5,550,West,10,4,No,1
58,Female,4,860,East,6,3,No,1
72,Female,3,1400,East,9,3,No,6
73,Male,5,2800,West,8,3,Yes,1
57,Male,3,1300,East,9,4,No,1
54,Female,3,1500,West,7,4,No,3
64,Female,3,1000,East,6,4,No,3
45,Female,5,2400,West,9,5,Yes,6
65,Female,2,2200,West,7,3,No,9
40,Female,3,192,West,8,5,No,1
49,Male,5,2000,West,7,4,No,2
46,Female,5,1500,West,9,4,No,5
51,Male,3,1625,West,8,3,No,3
71,Female,3,300,West,8,3,Yes,5
73,Male,3,3090,West,9,5,No,6
53,Female,3,500,East,5,1,No,9
32,Female,4,1900,West,9,3,Yes,1
36,Male,2,2100,West,7,3,Yes,5
56,Female,3,1900,East,9,4,No,3
76,Female,2,850,West,7,2,No,6
53,Female,2,700,West,10,4,No,3
46,Female,2,450,West,10,5,No,9
48,Female,3,813,West,8,4,No,6
28,Female,5,6250,West,9,4,Yes,6
44,Male,2,1800,West,8,4,No,3
21,Female,5,660,West,9,4,No,2
32,Female,5,2700,West,8,4,No,6
42,Male,5,3200,West,9,5,No,2
77,Male,2,1200,East,7,4,No,3
82,Female,1,1200,East,6,2,No,6
55,Female,3,1313,West,8,4,No,6
31,Female,3,2000,West,8,5,Yes,2
21,Female,2,1500,West,7,4,No,3
75,Female,2,1625,West,10,3,No,2
35,Male,5,2400,West,9,5,No,3
57,Male,3,7000,West,10,4,No,9
79,Male,2,1800,West,7,3,No,3
66,Male,2,1400,West,10,2,No,6
48,Female,3,3000,East,10,4,Yes,2
73,Female,5,500,East,8,2,No,3
64,Female,3,1100,East,10,4,No,6
20,Female,3,580,West,9,3,No,9
57,Female,5,1500,West,7,2,No,2
72,Male,2,760,West,5,3,No,9
50,Female,2,650,West,5,3,No,5
56,Male,3,1600,East,7,3,No,6
73,Male,5,2500,East,9,3,No,9
49,Male,3,1300,West,7,2,No,6
66,Female,5,3400,West,9,5,No,3
46,Female,5,1875,East,7,4,No,1
67,Female,3,1300,East,9,4,No,1
30,Female,4,1625,West,7,3,No,1
23,Female,5,250,West,10,5,Yes,3
49,Male,2,360,West,4,2,Yes,3
49,Female,5,750,West,6,3,No,2
42,Male,4,3500,West,9,5,No,6
54,Male,3,2875,East,7,4,No,3
65,Female,4,800,East,8,3,No,1
50,Male,5,3000,West,8,4,No,2
70,Male,5,1400,West,10,4,No,6
35,Male,3,3500,West,9,4,No,3
22,Female,5,1000,West,9,5,No,6
64,Female,2,500,West,9,4,No,6
74,Male,2,1400,West,10,3,No,6
27,Female,4,600,West,7,4,No,2
23,Male,5,250,West,9,5,No,6
67,Male,5,1800,West,6,4,No,6
28,Female,4,1100,East,7,4,No,1
39,Female,5,1500,West,8,2,No,3
72,Male,3,1830,East,9,5,No,3
58,Male,5,1500,East,4,2,No,2
27,Male,2,450,East,7,4,No,1
62,Male,5,3000,West,10,3,Yes,1
81,Female,3,1063,East,10,2,No,2
43,Male,5,3600,West,7,4,No,2
51,Female,3,450,West,6,3,No,6
46,Male,3,6250,East,8,4,Yes,6
60,Female,3,450,West,9,4,Yes,2
77,Female,2,890,East,8,4,No,1
34,Female,3,980,West,8,4,No,6
56,Female,4,2600,West,8,3,No,3
74,Male,3,1000,East,8,4,No,3
64,Female,3,1300,East,7,4,No,6
72,Male,5,4000,West,9,5,No,6
28,Female,5,1875,West,8,4,No,3
64,Female,5,2600,West,8,3,No,5
45,Female,5,1900,West,8,4,Yes,2
35,Female,3,250,West,8,4,No,2
35,Male,3,1063,East,10,4,No,11
73,Male,2,1200,East,10,3,No,6
71,Female,3,1900,West,8,3,No,3
22,Female,2,350,West,7,5,No,6
68,Female,2,607,West,7,4,No,6
77,Male,2,1050,East,7,3,No,3
56,Male,2,2125,West,8,4,No,9
49,Male,5,5000,West,9,3,No,5
69,Female,5,550,East,9,3,No,6
57,Female,3,1313,West,7,3,No,6
21,Male,5,300,West,8,5,Yes,2
49,Male,5,6250,West,8,4,Yes,5
86,Male,2,1500,West,9,3,No,3
67,Male,2,1060,East,8,3,No,1
69,Male,2,800,East,7,3,No,9
40,Male,5,1900,East,7,4,No,3
48,Male,2,2650,West,8,4,Yes,9
57,Female,2,1200,West,8,4,No,6
33,Male,5,3000,West,9,4,Yes,6
75,Male,5,3000,West,5,2,Yes,9
28,Male,3,1875,East,9,5,No,5
35,Male,2,650,East,8,4,No,9
61,Female,3,1875,East,8,2,No,9
48,Male,5,2800,West,8,3,Yes,4
63,Female,2,813,East,8,3,No,3
64,Male,3,1350,East,8,3,No,3
29,Female,5,1100,East,3,3,No,2
56,Male,2,2200,West,8,3,No,3
22,Male,5,450,West,6,3,No,3
79,Male,2,1600,West,5,4,No,6
77,Male,5,1438,East,7,4,Yes,3
74,Female,2,1100,West,10,4,No,2
70,Female,2,500,West,8,3,No,3
57,Female,3,404,East,6,3,No,9
54,Male,3,1400,East,7,4,No,3
48,Female,5,2100,West,9,4,No,1
42,Female,5,1700,West,10,4,No,6
78,Male,2,1600,West,10,4,No,5
59,Male,3,2000,East,8,3,No,6
63,Female,2,1000,West,7,3,No,3
51,Female,2,1200,West,5,2,No,9
81,Male,2,1100,West,8,3,No,6
50,Female,3,1000,East,8,4,No,2
53,Male,3,2625,West,9,3,No,6
76,Female,2,1300,West,10,3,Yes,5
30,Female,5,1700,East,8,4,Yes,1
69,Male,3,3000,West,8,4,No,9
33,Male,3,1063,East,8,4,No,6
42,Female,3,1200,East,9,5,Yes,6
62,Female,5,2600,West,10,3,Yes,5
79,Female,2,420,West,9,2,No,6
28,Female,5,1500,East,7,4,No,1
37,Female,5,1700,West,9,5,No,2
73,Female,5,991,West,7,3,No,3
59,Female,4,1200,West,9,4,No,3
59,Male,3,1500,East,7,2,Yes,9
53,Male,2,2400,West,8,4,No,3
55,Female,3,1800,West,9,4,No,2
35,Male,1,1300,West,8,4,Yes,3
28,Female,5,2100,West,9,5,No,2
48,Female,3,1500,East,4,3,No,9
66,Female,2,600,West,8,3,No,6
67,Male,3,1700,West,4,2,No,6
43,Female,5,2500,West,9,5,Yes,2
29,Male,3,1100,East,7,4,No,9
65,Female,2,795,West,10,3,No,6
61,Female,3,1625,East,4,3,No,9
63,Female,5,1875,East,7,2,Yes,1
77,Female,2,294,West,8,2,No,6
65,Male,2,3000,West,9,4,No,6
47,Male,5,2375,East,7,3,No,2
51,Male,2,1900,West,6,3,No,5
29,Female,5,700,West,10,5,No,3
60,Female,4,1450,East,7,4,No,6
72,Male,5,1500,East,5,2,No,1
70,Female,5,1500,East,7,3,No,1
63,Male,3,1100,East,9,4,No,6
24,Male,5,1800,West,9,5,No,6
69,Male,5,404,East,7,3,No,6
74,Female,2,1800,West,10,3,No,6
35,Female,3,1250,West,9,4,No,6
53,Female,3,1200,East,9,3,No,6
75,Female,3,1200,West,10,5,No,6
47,Female,5,3500,West,9,5,No,6
